,기준_년_코드,기준_분기_코드,상권_구분_코드,상권_구분_코드_명,상권_코드,상권_코드_명,서비스_업종_코드,서비스_업종_코드_명,분기당_매출_금액,분기당_매출_건수,주중_매출_비율,주말_매출_비율,월요일_매출_비율,화요일_매출_비율,수요일_매출_비율,목요일_매출_비율,금요일_매출_비율,토요일_매출_비율,일요일_매출_비율,시간대_00~06_매출_비율,시간대_06~11_매출_비율,시간대_11~14_매출_비율,시간대_14~17_매출_비율,시간대_17~21_매출_비율,시간대_21~24_매출_비율,남성_매출_비율,여성_매출_비율,연령대_10_매출_비율,연령대_20_매출_비율,연령대_30_매출_비율,연령대_40_매출_비율,연령대_50_매출_비율,연령대_60_이상_매출_비율,주중_매출_금액,주말_매출_금액,월요일_매출_금액,화요일_매출_금액,수요일_매출_금액,목요일_매출_금액,금요일_매출_금액,토요일_매출_금액,일요일_매출_금액,시간대_00~06_매출_금액,시간대_06~11_매출_금액,시간대_11~14_매출_금액,시간대_14~17_매출_금액,시간대_17~21_매출_금액,시간대_21~24_매출_금액,남성_매출_금액,여성_매출_금액,연령대_10_매출_금액,연령대_20_매출_금액,연령대_30_매출_금액,연령대_40_매출_금액,연령대_50_매출_금액,연령대_60_이상_매출_금액,주중_매출_건수,주말_매출_건수,월요일_매출_건수,화요일_매출_건수,수요일_매출_건수,목요일_매출_건수,금요일_매출_건수,토요일_매출_건수,일요일_매출_건수,시간대_건수~06_매출_건수,시간대_건수~11_매출_건수,시간대_건수~14_매출_건수,시간대_건수~17_매출_건수,시간대_건수~21_매출_건수,시간대_건수~24_매출_건수,남성_매출_건수,여성_매출_건수,연령대_10_매출_건수,연령대_20_매출_건수,연령대_30_매출_건수,연령대_40_매출_건수,연령대_50_매출_건수,연령대_60_이상_매출_건수,점포수
0,2017,1,A,골목상권,2111089,상일여고(상일초등학교),CS100001,한식음식점,4085167566,121684,78,22,13,16,16,15,16,12,10,1,1,29,7,42,19,67,33,0,8,25,32,24,11,3177200837,907966729,538578064,671104174,671602917,627411489,668504193,490163506,417803223,57972672,55467858,1181332746,293450437,1722086150,774857703,2044247650,1007187165,12561943,256482249,754129135,969308214,734441459,324511834,99234,22450,18605,20222,20428,19964,20015,12007,10443,1746,2396,51766,9815,41005,14956,64820,34150,1002,12138,25414,28739,21910,9758,141
1,2017,1,A,골목상권,2111089,상일여고(상일초등학교),CS100002,중식음식점,604422519,17706,75,25,13,15,15,16,15,13,12,2,0,35,11,41,11,72,28,1,11,31,34,15,8,452091423,152331096,79094277,88468698,93014516,98285577,93228355,81082213,71248883,13599137,386707,213897436,64910872,244505543,67122824,308044326,120033072,1989373,48637867,131912901,147206086,63440771,34890399,13408,4298,2335,2654,2749,2890,2780,2240,2058,227,15,7795,2333,6321,1015,9022,4436,128,1981,4193,4228,2006,926,21
2,2017,1,A,골목상권,2111089,상일여고(상일초등학교),CS100003,일식음식점,227380879,8983,89,11,16,17,18,20,19,8,3,3,0,35,6,36,20,63,38,3,23,33,26,11,4,203185165,24195714,35463657,39028228,40572681,45205861,42914738,18571752,5623962,6587384,992765,80366352,13115397,80868477,45450504,116449668,69738430,5069615,42932629,61836484,48860493,20903480,6585402,8368,615,1536,1671,1557,1949,1655,505,110,116,56,4337,788,2857,829,4549,3645,598,2297,2494,1907,697,203,19
3,2017,1,A,골목상권,2111089,상일여고(상일초등학교),CS100004,양식음식점,191306047,6884,85,15,13,21,14,19,18,7,8,4,0,40,14,24,18,52,48,1,17,41,26,12,3,162897068,28408979,24802542,40270165,27243040,36996477,33584844,12579519,15829460,8500239,0,76503230,25945770,46702971,33653837,79127553,71759222,971524,25929382,61306861,39349485,18471510,4858010,5949,935,1057,1176,1126,1410,1180,403,532,209,0,3222,658,1879,916,2950,3080,45,1351,2497,1385,549,205,8
4,2017,1,A,골목상권,2111089,상일여고(상일초등학교),CS100005,제과점,286139984,35089,76,24,14,17,15,16,15,12,12,0,18,20,21,31,9,48,52,1,13,30,34,17,7,218455219,67684765,40111232,49062600,42389316,44254636,42637435,33608012,34076753,0,52091296,58412480,61140337,89236232,25259639,118786003,130738589,2016906,32239889,73485672,84157419,41265331,16359377,27337,7752,5295,5977,5403,5546,5116,3814,3938,0,8105,7724,7137,9298,2825,15534,16945,275,4585,9887,10655,5207,1872,9
5,2017,1,A,골목상권,2111089,상일여고(상일초등학교),CS100006,패스트푸드점,472004941,45874,73,27,12,14,16,15,15,15,13,1,8,29,19,32,12,55,45,2,22,32,28,12,4,342809694,129195247,57714443,64878680,76543848,71786399,71886324,69221546,59973701,2806261,36379848,136467219,87857076,150254340,58240197,232781547,187473292,9427684,93201305,133480003,118444176,49429880,16271792,34241,11633,6168,6608,7416,7039,7010,5901,5732,156,7169,12281,8575,12188,5505,25356,17883,1436,10795,14291,10753,4534,1437,22
6,2017,1,A,골목상권,2111089,상일여고(상일초등학교),CS100007,치킨전문점,539214305,23541,67,33,11,12,13,13,18,17,16,6,0,3,7,45,40,59,41,2,18,25,36,15,4,362860547,176353758,60118869,62495146,71843244,70629647,97773641,91146840,85206918,30412137,122704,15749708,34914889,241017935,216996932,290530027,204671459,11890948,86496753,122686482,177000398,76496770,20630137,15680,7861,2629,2658,2992,3143,4258,3950,3911,1210,2,746,1688,10816,9079,12342,9818,769,4052,5518,7561,3383,878,22
7,2017,1,A,골목상권,2111089,상일여고(상일초등학교),CS100008,분식전문점,324796649,34014,80,20,15,15,16,17,16,12,8,1,16,29,17,32,5,53,47,3,16,29,33,14,5,258624899,66171750,48341785,49218933,52029544,56044594,52990043,39930058,26241692,3995092,52540617,93109163,53519903,104421481,17210393,145208120,128962956,7016487,44177800,80130351,90214551,38672221,13959663,27078,6936,5113,5184,5525,5799,5457,4150,2786,219,6915,9250,5831,10461,1338,15843,14754,987,5232,8669,9663,4516,1531,27
8,2017,1,A,골목상권,2111089,상일여고(상일초등학교),CS100009,호프-간이주점,1280685492,28518,78,22,11,15,17,20,16,14,8,19,0,2,1,24,55,80,21,2,13,25,37,19,5,998848856,281836636,137681201,186893253,212726432,255572059,205975911,181038105,100798531,241920279,0,21530349,7111557,308587278,701536029,863755791,222144177,22940271,135496864,266765088,399248532,210174433,51274788,22553,5965,3912,4228,4817,5118,4478,3928,2037,5571,0,1389,295,6210,15053,19609,5998,873,3827,5871,8803,4762,1474,51
9,2017,1,A,골목상권,2111089,상일여고(상일초등학교),CS100010,커피-음료,637518180,93683,81,19,15,17,16,16,16,10,10,0,11,40,27,18,4,58,42,1,19,36,29,13,4,513825005,123693175,95010989,108015321,104208362,103360636,103229697,61227336,62465839,176264,72443998,252207893,168937154,115573878,28178993,313657011,224316495,3405431,99931761,190740706,155293847,69073910,19527851,77649,16034,14954,16087,15723,15569,15316,7971,8063,4,13412,35598,26684,15466,2519,49885,34057,856,17689,28679,23654,10345,2717,28
